Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO14,Ambient,Drought,97-128,65-96,33-64,110,84,48,#6e5430,38293,1236586,3.1
2021-10-07,PIPO29,Ambient+HW,Drought,129-160,129-160,65-96,141,144,84,#8d9054,36641,1197341,3.1
2021-10-07,PIPO14,Ambient,Drought,129-160,97-128,65-96,142,116,79,#8e744f,37446,1236586,3
2021-10-07,PIPO39,Ambient,Drought,65-96,65-96,65-96,83,86,73,#535649,28733,993086,2.9
2021-10-07,PIPO14,Ambient,Drought,33-64,33-64,1-32,50,50,18,#323212,34146,1236586,2.8
2021-10-07,PIPO45,Ambient,Drought,97-128,129-160,97-128,122,140,108,#7a8c6c,32238,1154285,2.8
2021-10-07,PIPO45,Ambient,Drought,97-128,97-128,97-128,116,118,105,#747669,32092,1154285,2.8
2021-10-07,PIPO45,Ambient,Drought,65-96,97-128,65-96,89,108,75,#596c4b,30915,1154285,2.7
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,129-160,97-128,122,141,107,#7a8d6b,31700,1197341,2.6
2021-10-07,PIPO45,Ambient,Drought,129-160,161-192,97-128,150,170,112,#96aa70,30271,1154285,2.6
2021-10-07,PIPO45,Ambient,Drought,33-64,65-96,33-64,57,77,44,#394d2c,27364,1154285,2.4
2021-10-07,PIPO49,Ambient,Drought,65-96,65-96,65-96,83,86,73,#535649,20099,852652,2.4
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,97-128,97-128,116,118,105,#747669,31863,1394784,2.3
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,65-96,1-32,77,80,24,#4d5018,27549,1197341,2.3
2021-10-07,PIPO45,Ambient,Drought,161-192,161-192,129-160,176,178,143,#b0b28f,26000,1154285,2.3
2021-10-07,PIPO45,Ambient,Drought,129-160,97-128,65-96,141,117,80,#8d7550,25696,1154285,2.2
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,161-192,97-128,148,172,113,#94ac71,29361,1394784,2.1
2021-10-07,PIPO14,Ambient,Drought,33-64,65-96,1-32,50,75,23,#324b17,26096,1236586,2.1
2021-10-07,PIPO23,Ambient+HW,Drought,65-96,65-96,65-96,83,86,73,#535649,39584,1906687,2.1
2021-10-07,PIPO29,Ambient+HW,Drought,161-192,161-192,129-160,174,178,143,#aeb28f,24595,1197341,2.1
2021-10-07,PIPO49,Ambient,Drought,33-64,33-64,1-32,48,52,19,#303413,18279,852652,2.1
2021-10-07,PIPO45,Ambient,Drought,65-96,65-96,1-32,77,80,24,#4d5018,22846,1154285,2
2021-10-07,PIPO49,Ambient,Drought,97-128,97-128,33-64,108,112,55,#6c7037,16868,852652,2
2021-10-07,PIPO34,Ambient+HW,Drought,65-96,65-96,65-96,84,86,73,#545649,37267,1994597,1.9
2021-10-07,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,174,177,144,#aeb190,23144,1394784,1.7
2021-10-07,PIPO23,Ambient+HW,Drought,129-160,161-192,97-128,146,170,115,#92aa73,32131,1906687,1.7
2021-10-07,PIPO23,Ambient+HW,Drought,33-64,33-64,33-64,51,54,41,#333629,31984,1906687,1.7
2021-10-07,PIPO29,Ambient+HW,Drought,33-64,65-96,33-64,58,78,42,#3a4e2a,19922,1197341,1.7
2021-10-07,PIPO34,Ambient+HW,Drought,129-160,161-192,97-128,147,170,115,#93aa73,34089,1994597,1.7
2021-10-07,PIPO39,Ambient,Drought,33-64,33-64,33-64,50,54,41,#323629,17082,993086,1.7
2021-10-07,PIPO45,Ambient,Drought,65-96,65-96,65-96,84,86,73,#545649,19171,1154285,1.7
2021-10-07,PIPO14,Ambient,Drought,161-192,161-192,129-160,176,176,144,#b0b090,19191,1236586,1.6
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,129-160,33-64,111,139,56,#6f8b38,18929,1197341,1.6
2021-10-07,PIPO45,Ambient,Drought,161-192,161-192,97-128,174,175,115,#aeaf73,18770,1154285,1.6
2021-10-07,PIPO14,Ambient,Drought,129-160,129-160,129-160,146,150,137,#929689,19006,1236586,1.5
2021-10-07,PIPO14,Ambient,Drought,65-96,65-96,1-32,80,77,24,#504d18,19040,1236586,1.5
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,97-128,65-96,90,109,74,#5a6d4a,17813,1197341,1.5
2021-10-07,PIPO44,Ambient,Drought,97-128,129-160,65-96,115,136,85,#738855,17104,1111401,1.5
2021-10-07,PIPO45,Ambient,Drought,161-192,129-160,97-128,172,149,112,#ac9570,17359,1154285,1.5
