doc_id,type,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PART,PRON,PROPN,PUNCT,SCONJ,VERB
text1007,sci-fi,0.07482993197278912,0.07482993197278912,0.04421768707482993,0.05102040816326531,0.04081632653061224,0.1054421768707483,0.006802721088435374,0.1564625850340136,0.017006802721088437,0.0782312925170068,0.05782312925170068,0.14625850340136054,0.006802721088435374,0.11904761904761904
text1008,sci-fi,0.07058823529411765,0.06470588235294118,0.08235294117647059,0.047058823529411764,0.058823529411764705,0.1,0,0.16470588235294117,0.029411764705882353,0.047058823529411764,0.041176470588235294,0.1411764705882353,0.0058823529411764705,0.1411764705882353
text1009,sci-fi,0.09615384615384616,0.0625,0.04807692307692308,0.04326923076923077,0.014423076923076924,0.13942307692307693,0,0.15865384615384615,0.028846153846153848,0.057692307692307696,0.038461538461538464,0.14423076923076922,0.019230769230769232,0.11538461538461539
text101,sci-fi,0.06547619047619048,0.06547619047619048,0.08333333333333333,0.08928571428571429,0.041666666666666664,0.10119047619047619,0.005952380952380952,0.16071428571428573,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.11904761904761904,0.011904761904761904,0.08333333333333333
text1010,sci-fi,0.08176100628930817,0.07547169811320754,0.040880503144654086,0.0660377358490566,0.031446540880503145,0.1320754716981132,0,0.17295597484276728,0.0440251572327044,0.05660377358490566,0.05660377358490566,0.09119496855345911,0.02830188679245283,0.10062893081761007
text1011,sci-fi,0.09583333333333334,0.0875,0.029166666666666667,0.041666666666666664,0.0375,0.1125,0,0.15416666666666667,0.029166666666666667,0.0375,0.09166666666666666,0.14166666666666666,0.016666666666666666,0.11666666666666667
text1012,sci-fi,0.06868131868131869,0.06868131868131869,0.06043956043956044,0.06593406593406594,0.0521978021978022,0.11813186813186813,0.0027472527472527475,0.14835164835164835,0.03296703296703297,0.057692307692307696,0.06868131868131869,0.1346153846153846,0.013736263736263736,0.08791208791208792
text1013,sci-fi,0.06920415224913495,0.06920415224913495,0.0657439446366782,0.04844290657439446,0.03806228373702422,0.09342560553633218,0,0.12110726643598616,0.03806228373702422,0.13494809688581316,0.020761245674740483,0.10380622837370242,0.020761245674740483,0.1314878892733564
text1014,sci-fi,0.08940397350993377,0.10927152317880795,0.03642384105960265,0.03642384105960265,0.04966887417218543,0.1291390728476821,0,0.16225165562913907,0.033112582781456956,0.052980132450331126,0.06622516556291391,0.08278145695364239,0.013245033112582781,0.1291390728476821
text1015,sci-fi,0.0641025641025641,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.03205128205128205,0.1346153846153846,0,0.20512820512820512,0.019230769230769232,0.04487179487179487,0.05128205128205128,0.14743589743589744,0.01282051282051282,0.08333333333333333
